,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
0,55.12,57.39,54.3,56.25,17414655.0,55.9428,1554177600000,86546,,54.68000000000002,53.49059999999995,53.89120000000012,53.456787581354476,-0.03252523876459179
1,57.08,57.2,55.51,56.88,15066289.0,56.4543,1554264000000,75316,,54.635200000000026,53.49099999999995,53.856600000000114,48.655367338339644,-0.08083454716015126
2,57.2,60.52,57.1,59.71,13311934.0,59.3447,1554350400000,78968,,54.57800000000002,53.49379999999996,53.83495000000012,44.91029589093469,-0.07819174373542381
3,58.39,58.98,56.27,57.24,17001188.0,57.2948,1554436800000,95375,,54.55840000000002,53.511699999999955,53.81475000000011,43.69694134769493,-0.028881231091716586
4,56.5,58.39,56.27,57.15,10764719.0,57.5316,1554696000000,58826,,54.54440000000002,53.52589999999996,53.79290000000012,46.33689367980721,0.048731550225774356
5,56.8,57.2,56.08,56.27,9180956.0,56.5808,1554782400000,47781,,54.505600000000015,53.527999999999956,53.75640000000011,49.016177964685824,0.10737576855862585
6,55.99,56.41,55.1,55.71,9082060.0,55.585,1554868800000,47920,,54.45800000000001,53.52229999999996,53.72020000000011,47.91222475131539,0.14197437786988587
7,55.7,56.21,54.83,54.89,7346299.0,55.4653,1554955200000,35797,,54.39440000000001,53.51119999999995,53.684750000000115,46.77062548342984,0.19934243007633512
8,55.93,58.33,55.93,58.3,9281863.0,57.3897,1555041600000,51921,,54.35680000000002,53.49259999999995,53.649150000000105,42.84488030896013,0.2859563086369121
9,58.57,58.85,57.29,57.78,5727399.0,57.9699,1555300800000,38595,,54.39240000000002,53.477199999999954,53.61995000000011,44.01716657582523,0.44732956732860174
10,58.71,58.99,57.84,58.5,6681695.0,58.6024,1555387200000,36224,,54.41560000000002,53.458399999999955,53.59040000000011,56.710134064754556,0.6254120965339354
11,58.95,59.05,58.2,58.32,6420865.0,58.4742,1555473600000,28957,,54.337200000000024,53.418399999999956,53.55345000000011,57.29058561344794,0.6552496214973402
12,58.36,58.61,57.55,57.77,5178882.0,57.9042,1555560000000,24369,,54.25000000000002,53.38449999999996,53.51545000000011,57.29058561344794,0.6766749770470355
