Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
0.0,115.59,116.04,114.98,115.19,8991913.0,115.4763,1535601600000,71034,,152.8380000000002,143.67529999999985,139.57069999999996,39.08742819128882,-1.303818055766385
1.0,114.83,114.84,113.819,114.58,13065829.0,114.3645,1535688000000,76802,,153.2084000000002,143.47579999999985,139.48159999999996,36.8759348097512,-1.2402055061481576
2.0,114.34,115.24,113.63,115.15,10174662.0,114.6018,1536033600000,76542,,153.6464000000002,143.28949999999986,139.40359999999998,37.31999095339874,-1.0890461354551348
3.0,115.0,115.7,114.25,114.59,11462551.0,114.7666,1536120000000,76383,,153.9552000000002,143.11879999999985,139.32429999999997,37.64740760881606,-0.8985984130730742
4.0,114.5,114.7,113.5,114.1,9877785.0,114.023,1536206400000,70672,,154.3064000000002,142.94819999999984,139.24084999999997,33.83583171901621,-0.6567018886788958
5.0,114.5,114.77,113.63,114.32,10955790.0,114.2541,1536292800000,74512,,154.6212000000002,142.77189999999985,139.14494999999997,41.14993371717249,-0.237601933707765
6.0,114.85,114.97,113.66,113.71,8277076.0,114.0158,1536552000000,61631,,154.7884000000002,142.56849999999986,139.03239999999997,39.14020020516831,-0.0148583266906427
7.0,113.54,114.575,113.18,114.43,9333898.0,114.1903,1536638400000,66294,,154.9648000000002,142.36759999999987,138.92829999999998,37.825805678924375,0.3215869073812598
8.0,114.25,114.88,112.85,113.08,10801072.0,113.5033,1536724800000,83436,,155.0104000000002,142.16619999999986,138.81454999999997,41.65904107102412,0.7809539238529055
9.0,113.37,114.13,112.67,113.52,12470969.0,113.4654,1536811200000,87553,,154.95760000000018,141.91339999999985,138.694,43.33188560804105,1.1970775859843172
10.0,113.81,114.49,113.23,113.5,10337997.0,113.634,1536897600000,66270,,154.85040000000018,141.67349999999985,138.56284999999997,56.242329645861126,1.645627022581408
11.0,113.79,114.43,113.3,113.84,9561737.0,113.7493,1537156800000,67630,,154.5564000000002,141.39759999999987,138.40954999999997,55.23649462446211,1.793039183145936
12.0,114.33,114.655,113.56,114.3,7944415.0,114.2673,1537243200000,60498,,154.1844000000002,141.15859999999984,138.25079999999997,55.23649462446211,1.9876919526934955
13.0,114.44,118.06,114.44,117.62,16052916.0,117.1865,1537329600000,106597,,153.78000000000023,140.88549999999984,138.09044999999998,52.62497894125018,2.207227786513186
14.0,118.5,119.24,118.08,118.63,15590155.0,118.6985,1537416000000,110280,,153.3660000000002,140.60799999999983,137.93379999999996,53.37217853334456,2.545948392057369
15.0,119.13,119.23,117.74,117.85,24793847.0,118.2196,1537502400000,80674,,153.00000000000023,140.37759999999983,137.74549999999996,60.63683310944558,2.917828897431121
16.0,117.76,118.46,116.4315,116.72,12492679.0,117.0111,1537761600000,73137,,152.62920000000022,140.10139999999984,137.54864999999995,64.04513360403507,3.137242503963705
17.0,117.04,117.97,116.32,116.39,9308520.0,116.8582,1537848000000,63120,,152.1764000000002,139.87999999999982,137.35904999999997,62.39463349938356,3.2820614344258274
18.0,116.75,116.8699,114.66,115.02,14023820.0,115.7527,1537934400000,92292,,151.6728000000002,139.63229999999984,137.15824999999998,63.6036648264998,3.494509430260422
19.0,115.42,115.76,114.16,114.52,13283088.0,114.9121,1538020800000,88523,,150.96240000000023,139.4052999999998,136.93244999999996,61.61540923378418,3.68124109868549
20.0,113.65,114.24,112.52,112.84,15815260.0,113.2324,1538107200000,97645,,150.3144000000002,139.15469999999982,136.70229999999995,68.0866611775798,3.9627605576762335
21.0,113.37,114.61,113.04,113.5,10147200.0,113.6529,1538366400000,75566,,149.59480000000022,138.9608999999998,136.43444999999997,71.1262789625299,4.083205240858234
22.0,113.36,114.12,112.8128,113.97,13753468.0,113.6643,1538452800000,95930,,148.8304000000002,138.76749999999984,136.15444999999997,69.41977363693965,4.098126196616221
23.0,114.94,115.66,114.48,115.04,17142089.0,115.1018,1538539200000,108971,,148.1372000000002,138.62659999999985,135.89484999999996,67.92784136860527,4.164470744560191
24.0,114.55,116.81,114.21,115.27,16357440.0,115.3427,1538625600000,117085,,147.58920000000023,138.50299999999982,135.64464999999996,74.52880145516586,4.279194574924162
25.0,115.83,116.1,114.015,114.62,13778343.0,114.8197,1538712000000,92924,,146.98000000000022,138.33609999999982,135.39654999999996,73.22351200037971,4.186217433680724
26.0,114.25,115.78,113.3534,115.32,14371369.0,114.7152,1538971200000,101046,,146.4376000000002,138.19339999999983,135.16439999999997,77.87537674996781,4.102363447094632
27.0,114.67,115.03,113.67,114.52,14069533.0,114.5581,1539057600000,98409,,145.8412000000002,138.04689999999982,134.93824999999998,73.89490061983525,3.8155190722578993
28.0,114.7,114.95,111.47,111.47,23087095.0,113.0109,1539144000000,165944,,145.30280000000022,137.9189999999998,134.70214999999996,79.09363205408991,3.704448338233476
29.0,110.97,111.47,107.38,108.13,33705637.0,109.2335,1539230400000,291941,,144.7376000000002,137.76679999999982,134.44389999999996,76.68168512904718,3.386616989158909
30.0,110.37,110.83,105.6,106.95,32075841.0,107.3768,1539316800000,230208,,144.2076000000002,137.6209999999998,134.20344999999995,75.87928103994122,3.1251432746796013
31.0,107.2,108.85,106.32,106.34,18633516.0,107.2898,1539576000000,137292,,143.7016000000002,137.46999999999983,133.97509999999997,75.50787950473865,2.806023831476125
32.0,107.16,108.78,106.73,108.62,19303464.0,108.1259,1539662400000,130726,,143.1956000000002,137.3324999999998,133.73744999999997,69.97266083154497,2.386405577329498
33.0,108.38,110.8,108.23,109.83,18795205.0,109.6108,1539748800000,140015,,142.8324000000002,137.2571999999998,133.52254999999997,68.31493130678179,2.183672379093906
34.0,109.02,109.84,107.81,108.09,17582667.0,108.5379,1539835200000,131885,,142.45120000000023,137.1866999999998,133.32389999999995,66.95991903158182,1.9847849532863504
35.0,107.65,109.22,107.27,107.91,15235929.0,108.2915,1539921600000,116311,,142.08880000000022,137.1431999999998,133.13919999999996,65.57385713898975,1.775371766844188
36.0,108.15,108.34,106.1132,106.36,16199603.0,106.7419,1540180800000,122277,,141.81080000000023,137.1009999999998,132.96454999999995,60.82898319119384,1.556588074085738
37.0,104.2,106.16,103.7,105.25,21407947.0,104.9772,1540267200000,171381,,141.5080000000002,137.0751999999998,132.81794999999997,58.95452355778528,1.485826516069153
38.0,104.76,105.03,102.9068,103.29,23170316.0,104.0648,1540353600000,172112,,141.1628000000002,137.0421999999998,132.68704999999997,56.24197380738951,1.4563697417851813
39.0,104.18,105.9,103.72,104.86,17464753.0,105.0583,1540440000000,125117,,140.9328000000002,137.01429999999982,132.55639999999997,60.97734269238092,1.512643171818581
40.0,104.0,104.56,102.73,103.42,19175021.0,103.7025,1540526400000,152444,,140.62480000000022,136.9942999999998,132.42254999999997,68.33770433049324,1.4168664491074594
41.0,104.46,106.63,103.7,104.85,18445375.0,105.5073,1540785600000,150174,,140.18720000000022,136.96469999999982,132.27009999999996,66.07969707586057,1.073429738314644
42.0,105.71,106.98,104.86,106.7,18019881.0,105.9609,1540872000000,143181,,139.78320000000022,136.92949999999982,132.12484999999998,61.725388122050745,0.7385933585272255
43.0,108.08,110.48,107.79,109.02,20860142.0,109.2198,1540958400000,140545,,139.50960000000023,136.9060999999998,132.01059999999998,46.31681549247029,0.5051317485654181
44.0,109.62,110.22,108.32,108.98,13065505.0,109.0567,1541044800000,105370,,139.48720000000023,136.9095999999998,131.91349999999997,48.60688793386108,0.6926024682350373
45.0,109.9,110.81,107.49,108.38,19009718.0,108.6018,1541131200000,124875,,139.48640000000023,136.9134999999998,131.81049999999996,48.56817751022958,0.8596999690753933
46.0,108.61,109.29,108.42,109.09,10276549.0,108.9868,1541394000000,76110,,139.49880000000022,136.9211999999998,131.69404999999998,47.31532027542704,1.0614905978705451
47.0,108.67,109.67,107.76,109.6,10825159.0,109.0264,1541480400000,71330,,139.48280000000022,136.92399999999978,131.56849999999997,49.73051345931727,1.338227137200079
48.0,110.37,111.73,109.35,111.48,12679595.0,110.8223,1541566800000,90628,,139.27240000000023,136.93139999999977,131.43914999999998,60.49256625818176,1.5976511981304782
49.0,111.01,112.925,111.0,112.38,11635893.0,112.2648,1541653200000,93096,,138.98880000000025,136.9079999999998,131.30009999999996,61.43880114569176,1.6265502548361042
50.0,112.23,112.36,110.83,111.29,10432266.0,111.3983,1541739600000,82897,,138.65160000000023,136.87389999999976,131.15609999999998,64.70587968926705,1.6183952289609351
51.0,111.42,111.94,108.6,108.95,13280476.0,109.4491,1541998800000,97607,,138.36320000000023,136.8257999999998,131.01184999999998,64.29531324842658,1.5101188835135415
52.0,109.1,111.12,109.1,109.59,13743205.0,109.8301,1542085200000,115441,,138.09880000000024,136.7675999999998,130.86834999999996,60.25463827439268,1.367262618836918
53.0,110.23,110.71,105.9836,107.33,18361733.0,107.9096,1542171600000,139927,,137.89560000000023,136.7034999999998,130.73424999999995,62.42772678273741,1.327947712012019
54.0,108.24,110.08,106.81,110.07,19101529.0,109.0594,1542258000000,150342,,137.69760000000025,136.6307999999998,130.61689999999996,59.83935135058859,1.2044883551261876
55.0,109.45,110.76,108.55,109.99,13798661.0,109.9828,1542344400000,108305,,137.52720000000022,136.58649999999977,130.49089999999995,59.87690345456388,1.133244036262823
56.0,109.96,111.2,109.5282,110.83,13987054.0,110.4374,1542603600000,110886,,137.25160000000022,136.58439999999976,130.36344999999994,59.21138562066527,1.0248086469315751
57.0,109.78,110.49,107.98,108.45,18936798.0,108.7426,1542690000000,136557,,137.06160000000023,136.60719999999978,130.24314999999996,59.12144039490692,0.9000084424116039
58.0,109.03,109.61,107.64,107.64,10619875.0,108.5713,1542776400000,84622,,136.99080000000023,136.59519999999978,130.13284999999996,56.08667907984235,0.7316996949346901
59.0,106.74,107.39,106.06,106.65,6488487.0,106.7772,1542949200000,52101,,137.06520000000023,136.59809999999976,130.04434999999995,55.51883822827891,0.6436881707741975
60.0,107.72,109.98,107.45,109.26,13948950.0,109.1832,1543208400000,96665,,137.0312000000002,136.59319999999977,129.96184999999997,59.45985800046763,0.5474452701798782
61.0,108.76,110.03,108.63,109.72,9238451.0,109.4989,1543294800000,86421,,136.89440000000022,136.56219999999976,129.87764999999996,52.96753604498711,0.2761324004005416
62.0,109.8,111.4,108.87,110.94,13977366.0,110.5733,1543381200000,101849,,136.80040000000022,136.56579999999977,129.80204999999995,47.96016499396013,0.2200765935127151
63.0,110.27,110.795,109.635,110.06,11144548.0,110.1369,1543467600000,88640,,136.87880000000024,136.5621999999998,129.73414999999994,52.849684719253375,0.3357278859066355
64.0,109.85,111.32,109.58,111.19,18652815.0,110.929,1543554000000,82587,,137.00960000000023,136.5513999999998,129.64754999999997,51.48496814359977,0.3002758571307709
65.0,112.38,112.89,111.74,112.24,16033380.0,112.3047,1543813200000,99206,,137.1536000000002,136.5331999999998,129.55479999999997,48.07668244248182,0.3036039824804106
66.0,111.6,111.6,106.73,107.23,23556740.0,108.5582,1543899600000,163072,,137.3592000000002,136.5174999999998,129.45334999999997,47.18137478237468,0.4327449136360428
67.0,105.01,105.36,102.88,105.19,27216546.0,104.072,1544072400000,207486,,137.5944000000002,136.4962999999998,129.34839999999997,50.22761250540274,0.6248812306581613
68.0,105.16,106.9817,102.91,103.29,19248696.0,104.0021,1544158800000,140073,,137.7868000000002,136.4549999999998,129.24424999999997,53.953968940685634,0.7337551301204712
69.0,102.87,103.49,99.28,101.36,23636457.0,101.036,1544418000000,161417,,137.8588000000002,136.39209999999977,129.11589999999995,57.09514059993351,0.7154268326323745
70.0,103.13,103.66,100.21,100.37,16862290.0,101.4639,1544504400000,118562,,137.8408000000002,136.31309999999976,128.98804999999996,57.96714288420519,0.564536142636598
71.0,101.66,102.9,100.0603,101.02,22624587.0,101.4283,1544590800000,145401,,137.4204000000002,136.2246999999998,128.85269999999997,55.91571172928837,0.3311514998763698
72.0,101.55,101.97,100.67,101.12,17251842.0,101.0949,1544677200000,123010,,137.0224000000002,136.16179999999977,128.73149999999995,46.35277273872611,0.1353601703914364
73.0,99.99,101.94,99.86,100.29,19879811.0,100.6451,1544763600000,141849,,136.7904000000002,136.12549999999976,128.63669999999996,48.505583948208205,0.3039994528250247
74.0,99.77,100.56,98.435,99.01,25113636.0,99.4288,1545022800000,169141,,136.49680000000018,136.07379999999978,128.53459999999998,45.5918736686642,0.4221681449082268
75.0,99.42,100.89,98.12,98.54,20837203.0,99.2379,1545109200000,146698,,136.23160000000018,136.02569999999977,128.44029999999998,50.13780682776905,0.6819082843321098
76.0,98.41,100.58,96.6,97.29,28768164.0,98.3372,1545195600000,203559,,135.89400000000018,135.9661999999998,128.32715,51.182788587623776,0.804967032697391
77.0,96.61,98.28,95.69,96.45,31825418.0,96.8483,1545282000000,236831,,135.5716000000002,135.9354999999998,128.22084999999998,51.02850075502237,0.906544314680758
78.0,96.68,98.43,93.685,94.17,41314043.0,95.6027,1545368400000,254043,,135.3216000000002,135.9121999999998,128.1126,52.48067708050532,1.0301350372896536
79.0,92.89,94.22,92.14,92.14,17009427.0,93.1375,1545627600000,132802,,135.05120000000016,135.88359999999977,128.00384999999997,51.84441130855205,1.105697959058972
80.0,92.69,95.96,91.11,95.96,22543785.0,93.6646,1545800400000,176668,,134.73160000000018,135.8377999999998,127.89284999999998,46.57024031599745,1.219660845258204
81.0,94.82,97.15,93.55,97.04,20305753.0,95.1467,1545886800000,164781,,134.53240000000017,135.82539999999975,127.79505,50.19424189530307,1.6141420440760044
82.0,97.95,98.32,96.44,96.83,17964105.0,97.4097,1545973200000,155623,,134.24840000000015,135.78059999999977,127.6741,56.66650274866655,1.9047832535623852
83.0,97.59,98.8085,96.77,97.62,13237380.0,97.4071,1546232400000,98776,,133.83120000000017,135.70729999999978,127.54425,62.46685822166837,1.948695731800456
84.0,95.95,99.78,95.94,99.31,15671018.0,98.6762,1546405200000,135558,,133.17960000000016,135.60899999999978,127.37825,57.183479377870775,1.744253902470831
