Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
0.0,58.67,59.075,58.43,58.46,14801215.0,58.7068,1535601600000,78347,,43.74040000000001,41.87350000000004,42.74049999999998,38.31400956957656,-0.7355556487209967
1.0,58.27,58.54,58.07,58.48,16720294.0,58.3914,1535688000000,77280,,43.88440000000001,41.82360000000004,42.76094999999999,29.9416299882118,-0.7513113042411135
2.0,58.45,58.945,58.07,58.8,19003720.0,58.6743,1536033600000,89233,,44.092000000000006,41.77940000000005,42.79069999999999,31.149572928798293,-0.6943112674069312
3.0,58.88,59.195,58.81,58.95,22332516.0,59.0152,1536120000000,88476,,44.2732,41.74230000000005,42.81889999999999,32.23643857746234,-0.6318230565035563
4.0,58.91,59.16,57.93,57.93,20757000.0,58.2889,1536206400000,105241,,44.494000000000014,41.70000000000005,42.844549999999984,30.86763646196557,-0.5612024955832027
5.0,57.92,58.07,57.35,57.4,21482701.0,57.5522,1536292800000,99823,,44.68440000000001,41.658800000000056,42.86474999999999,37.13675051416607,-0.4517020342545592
6.0,57.62,57.84,57.31,57.46,15623660.0,57.5097,1536552000000,63141,,44.80880000000001,41.61360000000006,42.88669999999998,37.207629078664695,-0.4061694158423066
7.0,57.4,57.56,57.32,57.38,22160355.0,57.4262,1536638400000,63230,,44.89840000000001,41.56040000000007,42.90894999999998,36.87199220394496,-0.3431635004747733
8.0,57.33,57.39,55.8,55.94,23868891.0,56.1875,1536724800000,107904,,44.94200000000001,41.51040000000006,42.92654999999999,34.1482619189769,-0.2546990266714886
9.0,56.01,56.25,54.99,55.0,26954972.0,55.2703,1536811200000,100270,,45.00160000000001,41.450500000000055,42.9472,37.18765059887991,-0.1126269306291618
10.0,55.19,55.555,54.6975,54.73,20968119.0,54.9486,1536897600000,88673,,45.0228,41.389300000000055,42.9618,44.46558551460309,0.0184196636740168
11.0,54.75,54.76,53.94,54.31,21960135.0,54.2004,1537156800000,90731,,44.982800000000005,41.32390000000006,42.9716,44.36548237577794,0.0825784852948174
12.0,54.25,54.695,54.04,54.5,22055318.0,54.4119,1537243200000,84024,,44.9264,41.27140000000006,42.9798,44.36548237577794,0.1642855123774325
13.0,54.49,55.45,54.28,55.22,17046411.0,55.2009,1537329600000,80348,,44.888000000000005,41.20890000000006,42.987150000000014,43.841784660133776,0.266183783128298
14.0,55.63,55.81,54.99,55.55,20308160.0,55.4455,1537416000000,96499,,44.8568,41.149800000000056,42.99295000000001,44.16347174841376,0.3984803573139075
15.0,55.75,55.81,54.92,54.99,36158767.0,55.1868,1537502400000,71711,,44.8472,41.10560000000006,42.99260000000001,49.265556947867616,0.5564519068044262
16.0,54.8,55.16,54.24,54.26,19605024.0,54.4612,1537761600000,71947,,44.804,41.04930000000007,42.98830000000002,53.65846885094744,0.6726053840551813
17.0,54.3,54.69,54.195,54.23,15207545.0,54.3894,1537848000000,55308,,44.70880000000001,41.00040000000006,42.98635000000002,52.22626474884922,0.7520215621598823
18.0,54.38,54.45,53.02,53.16,22025349.0,53.5936,1537934400000,83961,,44.612800000000014,40.936000000000064,42.98190000000002,54.4589155363828,0.8638288067639195
19.0,53.28,53.6,52.76,52.82,19991336.0,53.0703,1538020800000,79711,,44.43160000000001,40.89810000000007,42.972000000000016,54.15560876220636,0.96342527086923
20.0,52.69,52.98,52.41,52.56,18588838.0,52.6874,1538107200000,76936,,44.26400000000002,40.85840000000007,42.95840000000001,58.57504112270624,1.0816240265691874
21.0,52.74,52.795,52.16,52.25,17215604.0,52.3807,1538366400000,74568,,44.05920000000001,40.83970000000007,42.932400000000015,62.0433374510628,1.154646816185206
22.0,52.24,52.35,51.875,52.13,17509772.0,52.136,1538452800000,75266,,43.8372,40.82260000000007,42.90275000000001,61.95035800222994,1.1852374048778742
23.0,52.5,52.915,52.3301,52.65,18444991.0,52.6503,1538539200000,82757,,43.63399999999999,40.82750000000007,42.87930000000002,60.2788526229406,1.209078666738307
