Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
0.0,68.66,68.94,68.345,68.54,4744975.0,68.559,1535601600000,37289,,107.49359999999992,111.39410000000012,109.70255000000002,51.61880364630491,0.4530723779520684
1.0,68.35,68.75,68.16,68.59,5698705.0,68.4918,1535688000000,33715,,107.43759999999996,111.4239000000001,109.66585,56.20074982137868,0.487199894879339
2.0,68.37,68.41,67.93,67.95,5768330.0,68.0712,1536033600000,44478,,107.38079999999997,111.41010000000011,109.6223,53.94692792575878,0.3933451998318702
3.0,67.95,68.69,67.91,68.62,6351390.0,68.4976,1536120000000,40710,,107.41839999999996,111.4043000000001,109.5754,61.04751691499055,0.34521291342827
4.0,68.97,69.54,68.82,69.38,9638224.0,69.2219,1536206400000,52662,,107.30479999999994,111.35520000000012,109.5149,46.72185266829592,0.0903936982232664
5.0,69.16,69.78,68.85,69.67,9515316.0,69.4414,1536292800000,49754,,107.25359999999992,111.34210000000012,109.47250000000004,58.564609858282445,0.1782369006601669
6.0,70.0,70.59,69.53,69.56,7268075.0,69.7638,1536552000000,40315,,107.10599999999994,111.29490000000013,109.42130000000004,56.70410664138166,0.0423824150336713
7.0,69.8,69.8,69.07,69.08,5815639.0,69.221,1536638400000,34041,,106.96079999999996,111.25820000000012,109.3741,55.52404429395723,-0.0868337817482682
8.0,69.4,70.02,69.12,69.86,6090012.0,69.7515,1536724800000,44618,,106.89759999999995,111.23830000000012,109.33550000000002,54.74687121929677,-0.2219885088154285
9.0,70.16,70.94,69.58,70.83,10192338.0,70.5203,1536811200000,52895,,106.80119999999997,111.19900000000013,109.29570000000004,54.47472343338044,-0.3719207094165426
10.0,70.74,70.74,69.66,69.98,7436188.0,69.9416,1536897600000,38782,,106.75359999999996,111.15470000000012,109.25110000000004,55.58327945692145,-0.5507516896831959
11.0,69.85,70.46,69.65,70.42,6697377.0,70.27,1537156800000,38319,,106.74519999999995,111.10960000000011,109.19860000000004,50.031221544025705,-0.7964486617372302
12.0,70.41,70.9,69.895,70.42,6800925.0,70.4164,1537243200000,44779,,106.84599999999996,111.09060000000012,109.14995000000005,50.031221544025705,-0.9487899073518378
13.0,70.15,70.57,69.64,69.98,7944189.0,70.1436,1537329600000,42386,,106.90839999999994,111.07470000000012,109.09960000000004,42.0915117171091,-1.1294321531021012
14.0,70.35,70.83,70.05,70.78,6140920.0,70.6679,1537416000000,39050,,107.15559999999994,111.06000000000012,109.05010000000004,43.9284799816174,-1.1531692427236635
15.0,70.91,71.575,70.905,71.1,17033318.0,71.102,1537502400000,46076,,107.45959999999994,111.07240000000012,108.98430000000003,44.99500884233247,-1.22065666631012
16.0,70.92,71.3,70.63,70.78,6439032.0,70.8256,1537761600000,34131,,107.77639999999994,111.08460000000012,108.91855000000004,43.68444430827169,-1.320603789995971
17.0,70.85,71.38,70.52,70.65,6341071.0,70.7357,1537848000000,30129,,108.14839999999992,111.09340000000012,108.86115000000004,39.0945314910053,-1.396382063645973
18.0,70.93,71.15,70.18,70.33,6928479.0,70.6254,1537934400000,43107,,108.48999999999992,111.1007000000001,108.80675000000002,41.181874654302455,-1.361809866542572
19.0,70.33,71.18,70.085,70.72,6026473.0,70.77,1538020800000,35770,,108.75839999999992,111.12030000000011,108.73900000000005,41.061789727974656,-1.3722023005445294
20.0,70.72,71.2,70.65,70.94,6808925.0,70.9815,1538107200000,32664,,109.06319999999994,111.1393000000001,108.67295000000004,39.45484832227877,-1.3624529737536335
21.0,71.07,71.89,70.61,71.53,7630453.0,71.4974,1538366400000,44412,,109.37519999999994,111.1693000000001,108.59865000000003,43.00644138190594,-1.287428153395041
22.0,71.97,72.17,71.09,71.75,10396142.0,71.8069,1538452800000,53214,,109.69319999999992,111.21550000000012,108.52065000000002,41.907693930679606,-1.312433882269744
23.0,72.09,72.42,71.35,71.37,9577642.0,71.6883,1538539200000,47688,,109.98839999999991,111.26310000000012,108.44135,38.08184785284596,-1.2936967015640874
24.0,71.12,71.36,70.46,71.22,10340756.0,70.8991,1538625600000,56006,,110.2239999999999,111.27920000000012,108.353,42.63894718225588,-1.142018384349754
25.0,71.23,71.69,70.58,71.03,7433605.0,71.0904,1538712000000,42511,,110.34759999999991,111.27790000000012,108.2545,43.65052254983003,-1.1222105193329526
26.0,70.93,71.6953,70.89,71.46,8854997.0,71.4135,1538971200000,45778,,110.4191999999999,111.26910000000012,108.1588,46.99530188315978,-1.1203145095211935
27.0,71.46,72.655,70.97,72.34,7871373.0,72.1013,1539057600000,53064,,110.44359999999992,111.2436000000001,108.0568,51.66323205052389,-1.229889936859351
28.0,72.48,72.89,70.39,70.45,12652055.0,71.3005,1539144000000,71514,,110.37439999999992,111.23330000000011,107.9426,45.61228484155953,-1.5147678104893458
29.0,70.37,70.531,67.82,68.37,12874457.0,69.1333,1539230400000,89969,,110.43559999999992,111.2476000000001,107.8309,35.925945186494275,-1.659833491951801
30.0,68.7,70.059,68.42,69.81,10161363.0,69.491,1539316800000,60855,,110.59199999999991,111.29400000000012,107.73435,35.925945186494275,-1.565283383680935
31.0,69.19,70.21,68.93,69.46,6581533.0,69.6788,1539576000000,41537,,110.78239999999992,111.3261000000001,107.63849999999998,34.40084766532301,-1.4218353053616966
32.0,69.85,71.31,69.75,71.22,10229053.0,70.8822,1539662400000,56353,,110.97239999999992,111.36110000000008,107.53985,38.34880274841979,-1.1793712445925737
33.0,71.09,71.9399,70.8,71.82,9344823.0,71.5131,1539748800000,49965,,111.02319999999992,111.3829000000001,107.43404999999998,34.31503139360717,-1.0329626252895707
34.0,72.15,72.4,71.42,72.21,12226154.0,71.9494,1539835200000,77952,,111.17079999999991,111.3848000000001,107.33634999999998,36.83841753689229,-0.7272125311931745
35.0,72.3,72.655,71.935,72.35,14514082.0,72.3449,1539921600000,77026,,111.39639999999994,111.38690000000013,107.23654999999997,39.74082786617354,-0.4434775015473065
36.0,72.97,73.49,71.85,72.57,11914464.0,72.4166,1540180800000,70250,,111.54919999999994,111.38730000000012,107.11569999999996,42.96047013757428,-0.2001142091404375
37.0,72.16,72.415,71.22,72.1,11562071.0,71.8928,1540267200000,78562,,111.58799999999994,111.3832000000001,106.99589999999996,39.492325703132245,-0.0148743092445471
38.0,71.82,72.6353,70.23,70.54,14645271.0,71.4483,1540353600000,92630,,111.64439999999992,111.3789000000001,106.88409999999996,47.11185661949752,0.3195209711206956
39.0,66.94,70.57,66.1,69.96,20566552.0,69.4353,1540440000000,112718,,111.57799999999992,111.3286000000001,106.76394999999997,53.9678045513373,0.4616833693887514
