,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd,signal,histogram
0,309.18,313.11,307.5,310.4,1256058.0,310.6885,1535688000000,15043,,,,,,,,
1,309.82,316.6695,306.87,312.99,1980653.0,312.1564,1536033600000,22928,,,,,,,,
2,312.33,314.64,305.93,306.81,1465979.0,309.5103,1536120000000,19069,,,,,,,,
3,306.15,310.58,303.45,305.19,888121.0,306.6189,1536206400000,13362,,,,,,,,
4,303.36,308.51,303.09,305.19,1557358.0,305.9525,1536292800000,13244,,,,,,,,
5,307.5,310.52,306.38,310.27,1257641.0,309.4721,1536552000000,13530,,,,,,,,
6,310.83,314.7,309.54,312.84,1346166.0,313.0897,1536638400000,17054,,,,,,,,
7,311.46,313.05,304.77,312.5,2646842.0,309.9068,1536724800000,21813,,,,,,,,
8,315.34,324.89,314.8,319.21,1566150.0,320.0507,1536811200000,19287,,,,,,,,
9,320.0,320.25,316.11,318.13,705379.0,318.4615,1536897600000,10737,,,,,,,,
10,318.99,321.435,316.3,319.47,1232127.0,319.6614,1537156800000,16358,,,,,,,,
11,319.61,330.46,319.17,328.79,1950044.0,326.2394,1537243200000,23582,,,,,,,,
12,328.59,331.97,328.59,329.79,1809712.0,330.4192,1537329600000,20047,,,,,,,,
13,331.85,332.707,329.375,329.99,1054862.0,330.9292,1537416000000,14350,,,,,75.7559821193795,,,
14,331.16,334.98,329.49,332.59,3811870.0,332.5183,1537502400000,16396,,,,,77.41856478079846,,,
15,330.84,332.43,325.88,327.04,1616433.0,327.5209,1537761600000,15236,,,,,66.875853616706,,,
16,326.38,327.87,323.0,323.37,1613740.0,323.9441,1537848000000,15122,,,,,60.96381709266856,,,
17,324.26,326.98,320.85,321.67,1234783.0,322.7344,1537934400000,11550,,,,,58.38888663354951,,,
18,321.7,328.7825,320.38,325.07,780207.0,325.62,1538020800000,11209,,,,,61.85868101719024,,,
19,324.09,327.26,321.3944,325.88,1037035.0,325.4939,1538107200000,11154,,,,,62.657572399550034,,,
20,327.66,327.99,319.45,321.59,1506551.0,321.541,1538366400000,15482,,,,,55.97088308821861,,,
21,321.0,326.96,319.59,326.89,1277250.0,325.2579,1538452800000,14206,,,,,61.4450825597064,,,
22,328.53,329.14,323.06,325.29,1716177.0,325.3868,1538539200000,11628,,,,,59.05789045300302,,,
23,324.09,326.32,321.11,324.68,1714327.0,324.0987,1538625600000,14567,,,,,58.13063406587588,,,
24,325.94,326.16,313.315,316.04,1585791.0,317.1435,1538712000000,13214,,319.66720000000004,,,46.89876773721313,,,
25,314.78,321.19,314.61,320.24,1231273.0,319.4864,1538971200000,11999,,320.06080000000003,,,51.776580239878136,2.067745145438323,-1.074430286588579,3.142175432026902
26,320.7,325.89,317.1,322.64,760467.0,323.4379,1539057600000,9506,,320.4468,,,54.356724231270064,1.931207080571653,-0.9687746811641995,2.8999817617358525
27,322.55,324.38,309.32,310.13,1416309.0,314.582,1539144000000,14781,,320.57959999999997,,,41.80185387295282,0.8042760373790543,-1.6765645794854387,2.480840616864493
28,310.24,311.89,298.66,301.92,1955425.0,303.9188,1539230400000,22913,,320.44879999999995,,,35.93567508890787,-0.742741458425769,-2.5788656602322098,1.8361242018064408
29,305.34,310.38,303.4,308.74,1664587.0,307.8691,1539316800000,14153,,320.5908,,,43.08130599369026,-1.4022823288321433,-2.590725224510867,1.1884428956787239
30,309.68,317.5068,308.59,313.89,1351528.0,314.9195,1539576000000,13932,,320.7356,,,47.81477385995572,-1.4922099927820796,-2.144522310768643,0.6523123179865633
31,316.07,322.84,314.2708,321.04,1191556.0,320.8232,1539662400000,14297,,321.0636,,,53.58586890959173,-0.9752905272980001,-1.302082276227651,0.3267917489296507
32,320.96,321.51,315.0,319.83,1115428.0,319.3519,1539748800000,10295,,321.3568,,,52.5272029601867,-0.6557064386446996,-0.7859985500594802,0.13029211141478061
33,320.1,320.465,314.04,318.1,1732335.0,317.7443,1539835200000,12736,,321.3124,,,50.976515657023306,-0.5358533043591365,-0.5329163326191336,-0.0029369717400028056
34,319.1,324.56,316.47,321.34,1110173.0,321.3898,1539921600000,13057,,321.44079999999997,,,53.731439117812236,-0.17738314724817883,-0.13955694040654082,-0.03782620684163801
35,322.77,325.0,318.26,319.61,884993.0,320.392,1540180800000,10925,,321.4464,,,52.049509645652456,-0.032514697691112815,0.004249207320420154,-0.03676390501153297
36,315.67,319.8,311.99,317.89,1070649.0,316.5465,1540267200000,15152,,321.01039999999995,,,50.3616125619868,-0.05585121501599133,-0.015269848003566684,-0.040581367012424645
37,318.12,321.69,305.18,306.05,1331975.0,309.7515,1540353600000,17798,,320.0608,,,40.601055889427805,-1.0179997546293293,-0.7819347100935238,-0.2360650445358056
38,312.23,318.25,305.4337,314.81,1820381.0,314.8694,1540440000000,19580,,319.4536,,,48.546639331897794,-1.0614152799146837,-0.6602801883031024,-0.40113509161158123
39,297.0,302.55,284.35,295.01,4569671.0,293.7561,1540526400000,50503,,317.9504,,,36.622214559083666,-2.6628215714640078,-1.809349183881941,-0.8534723875820667
40,299.13,310.3795,296.05,300.85,1933270.0,302.6891,1540785600000,19437,,316.9028,,,41.20912765147798,-3.421270129555751,-2.0542381935789473,-1.3670319359768035
41,302.36,316.94,301.85,316.22,1524478.0,313.3235,1540872000000,19163,,316.6168,,,51.216156835509246,-2.750410508350683,-1.1067028578991036,-1.6437076504515793
42,318.36,325.87,317.24,320.37,1973733.0,321.4712,1540958400000,20610,,316.56480000000005,,,53.51680468907988,-1.8624104004737774,-0.17496220001775842,-1.687448200456019
