Unnamed: 0,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
0.0,240.8,241.12,238.68,239.4,1964048.0,239.5126,1535601600000,25679,,339.42039999999963,332.1095,342.9486,41.58456540202382,-5.398298028491013
1.0,238.94,239.35,237.12,237.81,1965552.0,238.1636,1535688000000,25563,,340.5695999999997,332.06510000000003,343.12875,32.680492729922776,-5.696376304543264
2.0,237.76,238.12,234.59,237.66,2083723.0,236.7915,1536033600000,28525,,342.12079999999975,332.0901,343.34810000000004,32.36798602697125,-5.401394376092981
3.0,237.01,239.4497,236.17,237.56,2092241.0,237.8288,1536120000000,28208,,343.4007999999997,332.1557,343.5611,34.20726149188302,-4.9269789783096485
4.0,237.0,238.63,233.88,234.52,2651882.0,235.2597,1536206400000,29630,,344.54199999999975,332.2035,343.73900000000003,28.5782544430658,-4.4910963581816645
5.0,235.05,235.64,232.68,233.91,1952989.0,234.0731,1536292800000,26019,,345.4123999999997,332.227,343.8894,30.84159815224858,-3.5089902305538203
6.0,235.01,235.5,231.74,231.91,1948693.0,232.7742,1536552000000,30781,,346.0207999999997,332.2136,344.02805,32.96963116640835,-2.5373712788462512
7.0,230.67,231.65,228.66,230.21,2719940.0,230.0268,1536638400000,33841,,346.1115999999997,332.1487,344.14630000000005,34.992905018640485,-1.5525431437018256
8.0,230.91,231.99,227.3017,228.15,3577831.0,228.542,1536724800000,42075,,346.0583999999997,332.0588,344.23125,36.26142745661485,-0.53667096911812
9.0,229.5,229.85,227.57,228.33,2999178.0,228.5146,1536811200000,34625,,346.0411999999997,331.89340000000004,344.2948,38.80839696472764,0.6058665478104786
10.0,229.08,230.55,228.76,229.24,2228507.0,229.5729,1536897600000,25972,,345.80879999999974,331.7198,344.31965,43.91817304485313,1.739710919631193
11.0,229.4,230.16,227.3,227.89,1919087.0,227.9898,1537156800000,22089,,345.13439999999974,331.4791,344.3093999999999,47.026910047616745,2.598549213560432
12.0,228.35,229.4,226.57,228.89,2498173.0,228.5745,1537243200000,25102,,344.1639999999997,331.2446,344.2677499999999,47.026910047616745,3.352505738341904
13.0,229.9,236.28,229.52,235.58,3716787.0,234.5247,1537329600000,38062,,343.14159999999976,330.9325999999999,344.2076,46.66765424808651,4.266064710141677
14.0,237.0,238.51,236.03,237.4,2503115.0,237.3458,1537416000000,32214,,342.0455999999997,330.564,344.1311,48.800244082634165,5.403646311091336
15.0,238.06,238.52,234.83,235.34,3760372.0,236.4509,1537502400000,26344,,341.1399999999997,330.2879999999999,343.9717,54.41664576825649,6.543851971778565
16.0,234.74,235.74,232.24,232.9,1882182.0,233.1828,1537761600000,24713,,340.2739999999997,329.9272999999999,343.7892,63.27970363708864,7.33685844092065
17.0,234.64,234.64,232.225,232.5,2003618.0,232.7915,1537848000000,21875,,338.9531999999997,329.5931999999999,343.58065000000005,61.40881360765341,7.499032393303196
18.0,232.96,233.0,228.24,228.88,2372761.0,230.3859,1537934400000,28039,,337.7479999999998,329.2160999999999,343.34810000000004,61.36194219095314,7.83520303953253
19.0,228.77,229.85,227.52,227.74,2451666.0,228.2386,1538020800000,25481,,336.16799999999984,328.9611999999999,343.08225000000004,59.80555639678944,8.156421529235672
20.0,225.75,227.4,223.8,224.24,3097908.0,225.1007,1538107200000,37063,,334.6619999999998,328.87109999999984,342.86210000000005,67.97638543528753,8.657519724758743
21.0,226.22,227.59,225.0,225.33,2451440.0,225.9177,1538366400000,28813,,332.8475999999999,328.78679999999986,342.55005000000006,66.79931995464236,8.497139316502569
22.0,225.28,226.33,223.97,226.07,2272728.0,225.4799,1538452800000,23824,,331.2011999999998,328.6888999999999,342.2417500000001,65.09947319759542,8.357204478088363
23.0,227.75,229.77,226.58,227.78,2574317.0,228.1673,1538539200000,27805,,329.8551999999998,328.72709999999984,341.9783000000001,66.6354674830065,8.325837401012905
24.0,229.26,231.4,225.39,227.48,2903788.0,228.1837,1538625600000,35315,,328.6775999999998,328.7528999999998,341.71115000000015,70.30582724219575,8.034371242258203
25.0,228.0,228.41,224.21,225.71,1722701.0,225.6822,1538712000000,24446,,327.60399999999976,328.6682999999998,341.44670000000013,68.80993258963406,7.234945399742116
26.0,224.26,226.917,222.5,225.35,2523340.0,225.0647,1538971200000,27803,,326.94839999999976,328.5835999999999,341.21820000000014,73.92448631621221,6.40055175493444
